cityName,NAME3,wardName,wardNo,totalHouseholds
wuhan,JiangAnQu,HuaQiaoJieBanShiChu,177,49176
wuhan,WuChangQu,ShouYiLuJieBanShiChu,178,26067
wuhan,QingShanQu,HongGangChengJieDaoBanShiChu,179,14237
wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuDaQiaoXinQuBanShiChu,180,24765
wuhan,HuangBeiQu,HengDianJieDao,181,19856
wuhan,HuangBeiQu,DaTanBanShiChu,182,1232
wuhan,DongXiHuQu,JinYinHuJieDaoBanShiChu,183,22068
wuhan,XinZhouQu,CangBuJieDaoBanShiChu,184,25293
wuhan,HuangBeiQu,PanLongChengJingJiKaiFaQu,185,22187
wuhan,JiangAnQu,TaiBeiJieBanShiChu,186,14439
